Label,Amount,Direction,Open price,Close price,Profit/Loss,Profit/Loss in pips,Open date,Close date,Comment
nextDay_BUY_2668,0.02,BUY,1.48042,1.48488,89.2,44.6,2/22/2008 4:31,2/22/2008 13:11,
nextDay_BUY_2669,0.001,BUY,1.48042,1.48488,4.46,44.6,2/22/2008 4:31,2/22/2008 13:11,
nextDay_BUY_2670,0.14,BUY,1.47943,1.48488,763,54.5,2/22/2008 8:08,2/22/2008 13:11,
nextDay_BUY_2671,0.001,BUY,1.47943,1.48488,5.45,54.5,2/22/2008 8:08,2/22/2008 13:11,
nextDay_BUY_2672,0.28,BUY,1.47943,1.48488,1526,54.5,2/22/2008 8:08,2/22/2008 13:11,
nextDay_BUY_2673,0.001,BUY,1.47943,1.48488,5.45,54.5,2/22/2008 8:08,2/22/2008 13:11,
nextDay_SELL_2674,0.21,SELL,1.48488,1.48536,-100.8,-4.8,2/22/2008 13:11,2/22/2008 13:11,
nextDay_SELL_2675,0.001,SELL,1.48488,1.48536,-0.48,-4.8,2/22/2008 13:11,2/22/2008 13:11,
nextDay_SELL_2676,0.21,SELL,1.48488,1.48536,-100.8,-4.8,2/22/2008 13:11,2/22/2008 13:11,
nextDay_SELL_2677,0.001,SELL,1.48488,1.48536,-0.48,-4.8,2/22/2008 13:11,2/22/2008 13:11,
nextDay_BUY_2678,0.01,BUY,1.48274,1.48748,47.4,47.4,2/26/2008 4:31,2/26/2008 13:11,
nextDay_BUY_2679,0.14,BUY,1.48155,1.48748,830.2,59.3,2/26/2008 6:31,2/26/2008 13:11,
nextDay_BUY_2680,0.28,BUY,1.48155,1.48748,1660.4,59.3,2/26/2008 6:31,2/26/2008 13:11,
nextDay_BUY_2681,0.55,BUY,1.4787,1.48748,4829,87.8,2/26/2008 8:31,2/26/2008 13:11,
nextDay_BUY_2682,1.1,BUY,1.4787,1.48748,9658,87.8,2/26/2008 8:31,2/26/2008 13:11,
nextDay_BUY_2683,0.08,BUY,1.48655,1.48748,74.4,9.3,2/26/2008 10:52,2/26/2008 13:11,
nextDay_BUY_2684,0.04,BUY,1.48612,1.48748,54.4,13.6,2/26/2008 10:56,2/26/2008 13:11,
nextDay_BUY_2685,0.08,BUY,1.48612,1.48748,108.8,13.6,2/26/2008 10:56,2/26/2008 13:11,
nextDay_SELL_2686,0.29,SELL,1.48748,1.48745,8.7,0.3,2/26/2008 13:11,2/26/2008 13:11,
nextDay_SELL_2687,0.29,SELL,1.48748,1.48745,8.7,0.3,2/26/2008 13:11,2/26/2008 13:11,
nextDay_BUY_2688,0.02,BUY,1.51088,1.51148,12,6,2/28/2008 4:31,2/28/2008 13:11,
nextDay_BUY_2689,0.001,BUY,1.51088,1.51148,0.6,6,2/28/2008 4:31,2/28/2008 13:11,
nextDay_BUY_2690,0.1,BUY,1.51001,1.51148,147,14.7,2/28/2008 6:33,2/28/2008 13:11,
nextDay_BUY_2691,0.001,BUY,1.51001,1.51148,1.47,14.7,2/28/2008 6:33,2/28/2008 13:11,
nextDay_BUY_2692,0.2,BUY,1.51001,1.51148,294,14.7,2/28/2008 6:33,2/28/2008 13:11,
nextDay_BUY_2693,0.001,BUY,1.51001,1.51148,1.47,14.7,2/28/2008 6:33,2/28/2008 13:11,
